variable,grupo,shap_abs_medio_test,shap_medio_test,proporcion_test,rango_test,shap_abs_medio_val,shap_medio_val,proporcion_val,rango_val,shap_abs_medio_train,proporcion_train,rango_train,ganancia_media_3s,proporcion_ganancia,rango_ganancia,ganancia_s1,splits_s1,rango_splits_s1,dif_rango_ganancia_menos_shap_test
bil_retail_free_buy_mw_D,Programas PDBC/PBF de D,0.127041,0.089398,0.001058,83,0.098174,0.065857,0.000948,87,0.100806,0.000936,89,956675.081116,0.000253,91,1172718.960632,226,88,8
pl_entsoe_D,Precios europeos D y diferenciales,0.122159,0.050682,0.001018,84,0.110376,0.014952,0.001065,85,0.155534,0.001444,78,1188768.269409,0.000314,82,1177827.688171,313,70,-2
gen_peninsular_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.115807,-0.095334,0.000965,85,0.10409,-0.092317,0.001005,86,0.106043,0.000984,88,992413.57078,0.000262,88,961494.953613,229,87,3
biomass_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.113913,-0.046148,0.000949,86,0.111789,-0.020417,0.001079,84,0.148311,0.001377,79,2312292.029277,0.000611,57,1982919.599487,532,34,-29
d1_regimen_tope_gas,Calendario y hora,0.108247,0.108222,0.000902,87,0.094146,0.094136,0.000909,89,0.286035,0.002655,47,1958576.216146,0.000517,72,1768514.648376,56,107,-15
bil_generic_sales_mw_D,Programas PDBC/PBF de D,0.097924,-0.023976,0.000816,88,0.115939,-0.036376,0.001119,83,0.116907,0.001085,85,937300.267619,0.000248,92,1146609.705139,255,81,4
capinst_wind_mw,Capacidades (disponible e instalada),0.096971,0.021526,0.000808,89,0.083914,-0.00236,0.00081,90,0.165421,0.001536,76,1910621.63796,0.000505,74,2077877.914062,76,104,-15
de_lu_entsoe_D,Precios europeos D y diferenciales,0.096571,-0.044556,0.000805,90,0.097137,-0.051214,0.000938,88,0.174459,0.00162,72,7380865.767639,0.00195,18,7935640.35907,328,66,-72
ree_gsolter_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.082744,-0.025332,0.000689,91,0.065837,-0.031968,0.000635,92,0.046834,0.000435,101,712173.310527,0.000188,98,786739.251404,244,86,7
total_net_flow_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.082288,-0.015405,0.000686,92,0.076302,0.000433,0.000736,91,0.064201,0.000596,96,838488.681376,0.000221,97,886444.958252,253,82,5
ree_gsolter_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.0768,-0.016803,0.00064,93,0.062221,0.012438,0.000601,95,0.075645,0.000702,94,908535.207052,0.00024,94,911853.280151,252,83,1
biomass_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.073371,0.013192,0.000611,94,0.062975,0.014294,0.000608,94,0.109572,0.001017,87,2174612.723328,0.000574,66,2240216.197815,512,38,-28
pdbc_coal_mw_D,Programas PDBC/PBF de D,0.06877,0.063612,0.000573,95,0.063593,0.056912,0.000614,93,0.191731,0.00178,67,3447323.146729,0.000911,39,3648387.390503,434,53,-56
pdbc_total_gen_mw_D,Programas PDBC/PBF de D,0.067555,-0.023367,0.000563,96,0.050569,-0.010912,0.000488,100,0.045192,0.00042,102,886944.897644,0.000234,95,941214.260132,196,92,-1
pbfli_net_flow_ad_mw_D,Programas PDBC/PBF de D,0.067121,-0.038237,0.000559,97,0.05412,-0.014287,0.000522,99,0.049635,0.000461,98,653338.13031,0.000173,101,628762.36438,196,92,4
capinst_waste_nonrenewable_mw,Capacidades (disponible e instalada),0.06599,-0.04157,0.00055,98,0.055432,-0.042447,0.000535,98,0.109758,0.001019,86,973599.320516,0.000257,90,872596.788574,26,111,-8
pbfli_demand_reference_mw_D,Programas PDBC/PBF de D,0.062711,0.042414,0.000522,99,0.056459,0.037905,0.000545,97,0.040633,0.000377,104,466125.509216,0.000123,106,402297.727173,146,100,7
ree_netflow_pt_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.059677,0.007718,0.000497,100,0.042564,-0.00107,0.000411,105,0.035906,0.000333,106,1032327.610901,0.000273,87,1179117.838196,252,83,-13
d1_es_puente,Calendario y hora,0.056717,0.004196,0.000473,101,0.043532,-0.004792,0.00042,104,0.04056,0.000377,105,495888.337769,0.000131,105,541308.754272,65,106,4
ree_gccgas_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.055597,-0.017386,0.000463,102,0.059153,-0.009925,0.000571,96,0.093897,0.000872,92,2191703.310282,0.000579,63,2431011.108276,425,56,-39
entsoe_load_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.054444,0.005413,0.000454,103,0.047662,0.005372,0.00046,101,0.043911,0.000408,103,566488.117025,0.00015,103,639239.014709,206,91,0
ree_netflow_fr_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.053476,0.015756,0.000446,104,0.046953,0.009896,0.000453,102,0.047898,0.000445,100,912242.82784,0.000241,93,714999.535522,291,77,-11
ree_netflow_pt_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.051499,0.009518,0.000429,105,0.044701,0.001449,0.000431,103,0.055851,0.000518,97,980638.909892,0.000259,89,1132728.014832,296,75,-16
gen_peninsular_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.046774,0.017287,0.00039,106,0.029626,0.006061,0.000286,109,0.028062,0.00026,110,563183.150533,0.000149,104,442749.758423,168,96,-2
hora_sin,Calendario y hora,0.040523,0.007402,0.000338,107,0.03972,0.005613,0.000383,106,0.049456,0.000459,99,329095.737254,8.7e-05,109,317990.608978,104,103,2
bil_retail_last_resort_mw_D,Programas PDBC/PBF de D,0.040221,0.001633,0.000335,108,0.039629,0.006698,0.000383,107,0.028549,0.000265,109,372949.51825,9.9e-05,108,380983.521057,155,98,0
d1_month_cos,Calendario y hora,0.040036,-0.007401,0.000334,109,0.036087,-0.001015,0.000348,108,0.029481,0.000274,108,303324.613586,8e-05,110,297826.905029,47,108,1
d1_month,Calendario y hora,0.020358,0.012121,0.00017,110,0.028447,0.000793,0.000275,110,0.035751,0.000332,107,609005.318298,0.000161,102,441019.496338,71,105,-8
d1_vispera_festivo,Calendario y hora,0.007597,0.002328,6.3e-05,111,0.008159,0.001332,7.9e-05,111,0.011602,0.000108,111,268743.951518,7.1e-05,111,229718.210327,30,110,0
capinst_coal_mw,Capacidades (disponible e instalada),0.0,0.0,0.0,112,0.0,0.0,0.0,112,0.0,0.0,112,56182.605876,1.5e-05,112,0.0,0,112,0
