variable,nulos_antes,cero_convencion,cero_sin_serie,cero_no_existia,ffill,interpolado,analogo_7d,hora_saltada_lag,sin_reconstruir,cero_hora_inexistente,via_principal,celdas,bloque
wind100_mean_met_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
wind10_mean_met_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
pdbc_ccgt_mw_D,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,programas de casación
pdbc_hybrid_mw_D,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,programas de casación
pdbc_fuel_gas_mw_D,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,programas de casación
pdbc_pumping_gen_mw_D,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,programas de casación
bil_total_purchases_mw_D,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cero_convencion,7.0,programas de casación
pdbc_unavailable_power_mw_D,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,programas de casación
pbfli_total_net_flow_mw_D,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,programas de casación
bil_total_sales_mw_D,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cero_convencion,7.0,programas de casación
pbf_completo_D,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,cero_hora_inexistente,7.0,trazabilidad
pbf_publicado_D,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,cero_hora_inexistente,7.0,trazabilidad
capdisp_coal_antracita_mw,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0,analogo_7d,4.0,capacidad disponible
ree_demanda_prev,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,analogo_7d,1.0,previsión para el día objetivo
